section,section_label,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.85,0.001,homogeneous,0.5,0.904,0.14500000000000002,0.9392,28.0,18.0,45.5,71.0,53.0,84.0,82.0,62.4,94.25,42.0,34.8,50.4,0.04949999999999999,0.0048500000000000045,0.07270000000000001,12,0.2537781703934222,0.7462218296065778
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.85,0.002,homogeneous,0.9166666666666666,0.916,0.9,0.94565,17.5,11.65,25.349999999999998,49.5,34.55,64.8,62.0,44.0,78.0,32.0,21.55,44.349999999999994,0.066,0.04559999999999999,0.07349999999999995,12,0.6461140782014047,0.9851352905492264
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.85,0.003,homogeneous,0.8333333333333334,0.922,0.6692,0.93245,17.5,12.1,34.349999999999994,51.0,37.5,75.0,61.0,45.0,90.5,34.0,25.5,48.5,0.05750000000000005,0.028050000000000016,0.0794,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.85,0.005,homogeneous,0.9166666666666666,0.922,0.91315,0.9531499999999999,11.5,9.0,25.9,44.5,27.2,67.85,55.0,35.85,81.09999999999998,32.0,17.65,43.599999999999994,0.064,0.05105000000000004,0.08575000000000002,12,0.6461140782014047,0.9851352905492264
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.85,0.01,homogeneous,1.0,0.926,0.9083000000000001,0.9572499999999999,8.0,6.0,9.0,26.0,22.0,31.0,34.5,29.549999999999997,39.45,18.5,15.1,23.0,0.07700000000000001,0.060000000000000005,0.08900000000000002,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.86,0.001,homogeneous,0.3333333333333333,0.625,0.1078,0.9326000000000001,31.0,18.5,47.5,69.0,53.400000000000006,99.0,79.0,67.6,87.8,44.5,30.7,67.3,0.02200000000000002,0.004400000000000005,0.05845000000000005,12,0.13811783989736134,0.609382412602386
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.86,0.002,homogeneous,0.3333333333333333,0.919,0.71465,0.93425,20.5,14.0,26.45,69.0,38.5,77.0,84.0,51.0,95.5,48.0,24.5,51.0,0.049000000000000044,0.02730000000000002,0.06415000000000005,12,0.13811783989736134,0.609382412602386
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.86,0.003,homogeneous,0.8333333333333334,0.927,0.65505,0.9454499999999999,15.5,9.55,32.999999999999986,44.0,33.5,69.0,58.0,45.5,84.5,31.0,23.5,47.0,0.053499999999999936,0.029599999999999967,0.06904999999999994,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.86,0.005,homogeneous,0.8333333333333334,0.916,0.8732,0.9467,11.5,9.55,17.799999999999997,38.0,31.55,66.64999999999999,49.0,43.5,78.5,26.0,21.55,50.49999999999999,0.049000000000000044,0.03254999999999998,0.05899999999999999,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.86,0.01,homogeneous,1.0,0.9225000000000001,0.904,0.9490999999999999,7.0,6.0,9.45,26.5,20.0,34.45,37.0,27.55,45.45,20.0,14.0,25.0,0.06649999999999995,0.054949999999999985,0.07445,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.87,0.001,homogeneous,0.08333333333333333,0.32799999999999996,0.00055,0.9028,30.0,18.2,81.8,69.0,46.5,78.89999999999999,78.0,71.7,84.3,46.0,30.700000000000003,54.099999999999994,0.01150000000000001,0.0,0.037899999999999975,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.87,0.002,homogeneous,0.25,0.913,0.36495,0.93635,22.0,12.200000000000001,35.25,68.0,36.4,88.39999999999999,87.0,49.05,98.94999999999999,48.0,24.200000000000003,61.6,0.038500000000000034,0.012549999999999995,0.05799999999999999,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.87,0.003,homogeneous,0.8333333333333334,0.916,0.4872000000000001,0.9318000000000001,14.5,11.0,20.9,46.0,39.5,71.0,59.5,52.9,86.05000000000001,32.0,26.0,51.5,0.040500000000000036,0.019100000000000002,0.06635000000000006,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.87,0.005,homogeneous,0.8333333333333334,0.9125000000000001,0.902,0.94675,11.0,9.0,13.899999999999999,37.0,31.55,59.45,50.0,44.55,87.8,26.0,22.1,46.45,0.04500000000000004,0.03555000000000003,0.057249999999999995,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.87,0.01,homogeneous,1.0,0.9195,0.90275,0.9307,8.0,5.550000000000001,10.0,31.0,25.1,38.8,45.0,34.55,58.0,23.0,19.0,28.799999999999997,0.051999999999999935,0.03665000000000003,0.06259999999999993,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.88,0.001,homogeneous,0.08333333333333333,0.3265,0.0,0.6996999999999998,36.0,15.4,42.8,72.5,60.35,84.65,,,,57.0,45.3,68.7,0.01150000000000001,0.0,0.02465000000000001,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.88,0.002,homogeneous,0.25,0.514,0.21325,0.9187000000000001,26.0,10.65,53.999999999999986,67.5,42.5,81.25,71.0,62.900000000000006,80.89999999999999,44.0,32.75,62.0,0.014499999999999999,0.007000000000000006,0.04569999999999999,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.88,0.003,homogeneous,0.5833333333333334,0.902,0.30560000000000004,0.9329000000000001,14.5,10.55,32.64999999999999,48.0,33.45,89.65000000000002,70.0,51.2,92.39999999999998,33.5,22.35,66.90000000000002,0.026000000000000023,0.00955000000000001,0.04725000000000004,12,0.3195073356553728,0.8067425380947535
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.88,0.005,homogeneous,1.0,0.9155,0.9022,0.93405,11.0,8.0,16.9,46.5,34.3,54.349999999999994,69.0,50.55,82.0,34.5,25.200000000000003,40.45,0.04200000000000004,0.027200000000000023,0.04990000000000004,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.88,0.01,homogeneous,1.0,0.9145000000000001,0.90375,0.9337,8.0,6.0,9.899999999999999,29.0,23.200000000000003,36.349999999999994,46.5,37.4,60.25,21.0,16.65,27.9,0.04350000000000004,0.030650000000000028,0.057350000000000054,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.89,0.001,homogeneous,0.16666666666666666,0.4575,0.2782,0.9114,27.5,17.55,49.599999999999994,81.0,47.8,94.79999999999998,79.5,70.95,88.05,55.0,29.4,72.8,0.016500000000000015,0.009100000000000009,0.03495000000000002,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.89,0.002,homogeneous,0.25,0.644,0.5326500000000001,0.90245,17.0,11.65,22.349999999999998,65.0,44.5,80.0,80.0,62.9,83.6,49.0,33.0,63.0,0.019999999999999976,0.014549999999999999,0.038449999999999984,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.89,0.003,homogeneous,0.6666666666666666,0.902,0.33285,0.93735,14.5,10.0,53.19999999999996,47.0,37.8,67.55,83.0,65.69999999999999,92.4,35.5,27.35,48.0,0.023999999999999952,0.011299999999999996,0.04144999999999999,12,0.3906175873976139,0.8618821601026385
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.89,0.005,homogeneous,0.6666666666666666,0.9035,0.5932999999999999,0.91635,13.5,10.100000000000001,16.9,54.5,35.85,78.69999999999999,93.0,52.0,97.4,42.5,25.75,61.8,0.029000000000000026,0.0182,0.047950000000000034,12,0.3906175873976139,0.8618821601026385
