k,beta,theta_mean,seed_fraction,seed_strategy,realised_mean_degree,avg_path_length,clustering,giant_component_fraction,cascade_prob,cascade_prob_ci_low,cascade_prob_ci_high,final_adoption_median,final_adoption_p05,final_adoption_p95,n_runs
10,0.7,1.0,0.01,clustered,10.0,3.264904904904905,0.026587419095562417,1.0,1.0,0.9286499658256813,1.0,0.819,0.7301500000000001,0.9101,50
15,0.7,1.0,0.01,clustered,15.0,2.843923923923924,0.030154232391571213,1.0,1.0,0.9286499658256813,1.0,0.904,0.7053499999999999,0.9277500000000001,50
30,0.7,0.96,0.01,clustered,30.0,2.398678678678679,0.04765602889067506,1.0,1.0,0.9286499658256813,1.0,0.9065000000000001,0.9,0.9175500000000001,50
50,0.7,1.0,0.01,clustered,50.0,2.032192192192192,0.06368313622483308,1.0,1.0,0.9286499658256813,1.0,0.904,0.9,0.9111,50
100,0.7,0.98,0.01,clustered,100.0,1.9005805805805807,0.11183689472652421,1.0,0.0,0.0,0.07135003417431873,0.6884999999999999,0.6425000000000001,0.71955,50
150,0.7,0.97,0.01,clustered,150.0,1.852892892892893,0.15827671645953764,1.0,0.0,0.0,0.07135003417431873,0.4805,0.4548,0.50655,50
200,0.7,1.0,0.01,clustered,200.0,1.8002002002002002,0.20604269614012224,1.0,0.0,0.0,0.07135003417431873,0.379,0.35945,0.40854999999999997,50
