realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,10,,true,0.1,T,21.046573594670708,,,89,random,1.0,0.502,,1.5,0.05,0.01,false,11,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.013000000000000005,4,681,,1.0,,721875575,0.01,false,0.02,4,hazard,normal,,,0.1,0.502,45,0.5,0.7,,11,0.75,0.0,100,,watts_strogatz_rewire,expA_nullmodels,false,1000,189,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,27.951308726245177,,,86,random,1.0,0.513,,1.5,0.05,0.01,false,11,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.015,6,672,,1.0,,1673921155,0.01,false,0.02,4,hazard,normal,,,0.1,0.513,45,0.5,0.7,,12,0.75,0.0,97,,watts_strogatz_rewire,expA_nullmodels,false,1000,171,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,15.18846620754163,,,,random,1.0,0.496,,1.5,0.05,0.01,false,10,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.017,3,682,,1.0,,1048216233,0.01,false,0.02,4,hazard,normal,,,0.1,0.496,45,0.5,0.7,,13,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,197,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,24.62045146748702,,,,random,1.0,0.477,,1.5,0.05,0.01,false,9,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.018,2,676,,1.0,,1792991142,0.01,false,0.02,4,hazard,normal,,,0.1,0.477,45,0.5,0.7,,14,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,210,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,30.654709091284293,,,85,random,1.0,0.515,,1.5,0.05,0.01,false,8,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.016,1,711,,1.0,,707399756,0.01,false,0.02,4,hazard,normal,,,0.1,0.515,45,0.5,0.7,,15,0.75,0.0,93,,watts_strogatz_rewire,expA_nullmodels,false,1000,210,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,15.621022732626471,,,87,random,1.0,0.508,,1.5,0.05,0.01,false,9,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.018000000000000002,1,677,,1.0,,1580481526,0.01,false,0.02,4,hazard,normal,,,0.1,0.508,45,0.5,0.7,,16,0.75,0.0,96,,watts_strogatz_rewire,expA_nullmodels,false,1000,183,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,true,0.1,T,29.00619088824171,,,81,random,1.0,0.512,,1.5,0.05,0.01,false,9,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.017,8,706,,1.0,,1570438833,0.01,false,0.02,4,hazard,normal,,,0.1,0.512,45,0.5,0.7,,17,0.75,0.0,90,,watts_strogatz_rewire,expA_nullmodels,false,1000,206,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,15.99585084559785,,,,random,1.0,0.499,,1.5,0.05,0.01,false,11,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.015,12,679,,1.0,,843932060,0.01,false,0.02,4,hazard,normal,,,0.1,0.499,45,0.5,0.7,,18,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,191,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,24.713296605746617,,,,random,1.0,0.457,,1.5,0.05,0.01,false,13,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.011999999999999997,5,649,,1.0,,442920521,0.01,false,0.02,4,hazard,normal,,,0.1,0.457,45,0.5,0.7,,19,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,203,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
1000,,own,,10,,false,0.1,T,29.389444113557705,,,,random,1.0,0.488,,1.5,0.05,0.01,false,12,4,100,2.15015015015015,mixture,0.002544529262086514,random,false,,coarse,1.0,10.0,0.01,false,0.012999999999999998,6,678,,1.0,,244907137,0.01,false,0.02,4,hazard,normal,,,0.1,0.488,45,0.5,0.7,,20,0.75,0.0,,,watts_strogatz_rewire,expA_nullmodels,false,1000,202,0.1,0.15,,false,,0.0,,20260703,small_world,,0.05,,,2000,4.0,5.287347347347347,100
