experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expD_seedplacement,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,,,1.0,,,,normal,,own,,false,,0.7852560000000001,0.846,0.448,0.905,0.468,0.916,0.468,55.0,36.0,84.0,40.0,0.020000000000000018,0.349,250,0.40709862287317655,0.5298699433507994
expD_seedplacement,power_law,,2,complex,mixture,0.7,0.05,random,50,random,3,false,,,,,,1.0,,,,normal,,own,,false,,0.5329159999999998,0.5185,0.01045,0.91055,0.332,0.52,0.328,52.5,26.0,94.55,37.0,0.02600000000000001,0.019500000000000017,250,0.27655293258546276,0.39253204009041076
expD_seedplacement,small_world,0.4,,complex,mixture,0.7,0.05,random,50,high_degree,6,false,,,,,,1.0,,,,normal,,own,,false,,0.8923320000000001,0.902,0.8443,0.908,0.86,1.0,0.86,38.0,27.0,58.650000000000034,29.0,0.024499999999999966,0.401,250,0.8115192932332553,0.8975843367470158
expD_seedplacement,power_law,,2,complex,mixture,0.7,0.05,random,50,high_degree,3,false,,,,,,1.0,,,,normal,,own,,false,,0.9113369999999996,0.91,0.901,0.926,1.0,1.0,1.0,14.0,10.0,21.0,11.0,0.05800000000000001,0.41100000000000003,1000,0.9961731014136095,1.0
expD_seedplacement,small_world,0.4,,complex,mixture,0.7,0.05,random,50,bridge,6,false,,,,,,1.0,,,,normal,,own,,false,,0.8918599999999965,0.902,0.8308,0.908,0.883,0.998,0.883,37.0,27.0,56.0,28.0,0.024999999999999994,0.401,1000,0.8615966700317587,0.9014719256510663
expD_seedplacement,power_law,,2,complex,mixture,0.7,0.05,random,50,bridge,3,false,,,,,,1.0,,,,normal,,own,,false,,0.9115200000000001,0.9085000000000001,0.903,0.92655,1.0,1.0,1.0,16.0,11.0,23.0,13.0,0.05399999999999999,0.41350000000000003,50,0.9286499658256813,1.0
expD_seedplacement,small_world,0.4,,complex,mixture,0.7,0.05,random,50,clustered,6,false,,,,,,1.0,,,,normal,,own,,false,,0.6005719999999997,0.5974999999999999,0.22015,0.902,0.16,0.676,0.16,69.0,45.0,97.0,52.0,0.015000000000000013,0.09599999999999997,250,0.11975315933080616,0.21053785679893777
expD_seedplacement,power_law,,2,complex,mixture,0.7,0.05,random,50,clustered,3,false,,,,,,1.0,,,,normal,,own,,false,,0.7362639999999998,0.904,0.12355,0.92,0.632,0.776,0.628,34.5,15.0,80.39999999999998,26.0,0.0345,0.3995,250,0.5706410625109003,0.6893636018151991
