realised_N,effort_budget,performance_benchmark,theta_low_mean,seed_count,powerlaw_alpha,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,theta_sweep,performance_benchmark_sweep,transition_time,pioneer_strategy,digital_growth_sd,final_adoption,sigma,digital_growth_mean,pioneer_threshold,seed_fraction,cascade_threshold70,t10,k,stop_time,degree_variance,threshold_treatment,clustering,seed_strategy,vary_network,m,phase,beta,v0,p_digital,cascade,max_slope,max_slope_period,total_adoptions,return_distribution_sweep,giant_component_fraction,effort_label,run_seed,hazard_h,cascade_dynamic,cascade_slope_min,target_mean_degree,rule,return_distribution,theta_high,effort_metric,pi,hazard_matched_final_adoption,cascade_transition_window,cascade_final_cutoff,theta_mean,sigma_high,run_index,benchmark_percentile,abandonment_h,t50,update_schedule,network_generator,experiment,allow_abandonment,N,total_bankruptcies,pioneer_fraction,traditional_growth_mean,robustness_axis,cascade_dynamic70,theta_crit,excess_over_hazard,seed_fraction_sweep,network_seed,family,premium_ratio,theta_low,abandonment_sweep,t90,realised_edges,realised_mean_degree,avg_path_length,pioneer_count
1000,,own,,6,,true,0.1,T,15.120364373717578,,,51,random,1.0,0.697,,1.5,0.05,0.006,false,20,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.022999999999999965,52,874,,1.0,,721875575,,false,0.02,4,complex,normal,,,0.05,0.519,45,0.5,0.7,,11,0.75,0.0,71,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,183,0.05,0.15,,false,,0.17799999999999994,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,17.066238466525682,,,68,random,1.0,0.572,,1.5,0.05,0.006,false,20,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.01200000000000001,36,739,,1.0,,1673921155,,false,0.02,4,complex,normal,,,0.05,0.496,45,0.5,0.7,,12,0.75,0.0,88,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,173,0.05,0.15,,false,,0.07599999999999996,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,25.757671546294787,,,33,random,1.0,0.909,,1.5,0.05,0.006,true,12,4,77,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.029000000000000026,65,1106,,1.0,,1048216233,,true,0.02,4,complex,normal,,,0.05,0.485,45,0.5,0.7,,13,0.75,0.0,45,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,207,0.05,0.15,,true,,0.42400000000000004,,2701,small_world,,0.05,,77,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,27.50721274789516,,,62,random,1.0,0.528,,1.5,0.05,0.006,false,33,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.017999999999999988,54,681,,1.0,,1792991142,,false,0.02,4,complex,normal,,,0.05,0.5,45,0.5,0.7,,14,0.75,0.0,95,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,161,0.05,0.15,,false,,0.028000000000000025,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,25.38779716318412,,,45,random,1.0,0.777,,1.5,0.05,0.006,true,19,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.018000000000000016,74,984,,1.0,,707399756,,false,0.02,4,complex,normal,,,0.05,0.492,45,0.5,0.7,,15,0.75,0.0,64,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,213,0.05,0.15,,false,,0.28500000000000003,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,false,0.1,T,15.508105510481665,,,,random,1.0,0.259,,1.5,0.05,0.006,false,40,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.009000000000000008,74,325,,1.0,,1580481526,,false,0.02,4,complex,normal,,,0.05,0.473,45,0.5,0.7,,16,0.75,0.0,,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,72,0.05,0.15,,false,,-0.21399999999999997,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,31.455743206684335,,,34,random,1.0,0.878,,1.5,0.05,0.006,true,20,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.025000000000000022,47,1142,,1.0,,1570438833,,true,0.02,4,complex,normal,,,0.05,0.485,45,0.5,0.7,,17,0.75,0.0,54,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,274,0.05,0.15,,true,,0.393,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,18.035702452366316,,,60,random,1.0,0.742,,1.5,0.05,0.006,true,13,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.020000000000000018,66,950,,1.0,,843932060,,false,0.02,4,complex,normal,,,0.05,0.523,45,0.5,0.7,,18,0.75,0.0,73,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,216,0.05,0.15,,false,,0.21899999999999997,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,A90,23.081402985131895,,,34,random,1.0,0.904,,1.5,0.05,0.006,true,10,4,76,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,true,0.028000000000000025,58,1119,,1.0,,442920521,,true,0.02,4,complex,normal,,,0.05,0.493,45,0.5,0.7,,19,0.75,0.0,44,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,224,0.05,0.15,,true,,0.41100000000000003,,2701,small_world,,0.05,,76,2000,4.0,5.775355355355355,50
1000,,own,,6,,true,0.1,T,28.09441987167199,,,38,random,1.0,0.813,,1.5,0.05,0.006,true,13,4,100,1.3193193193193193,mixture,0.09010361916203634,random,false,,coarse,0.4,10.0,0.01,false,0.01899999999999999,24,1088,,1.0,,244907137,,false,0.02,4,complex,normal,,,0.05,0.485,45,0.5,0.7,,20,0.75,0.0,51,,watts_strogatz_rewire,expE_seed_x_pioneer,false,1000,285,0.05,0.15,,false,,0.32799999999999996,,2701,small_world,,0.05,,,2000,4.0,5.775355355355355,50
