experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expE_seed_x_pioneer,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,6,false,,,,,,1.0,,,,normal,,own,,false,,0.8103689999999993,0.879,0.524,0.907,0.507,0.958,0.506,54.0,36.0,85.0,39.0,0.020999999999999963,0.373,1000,0.47604526567108785,0.5379011577487027
expE_seed_x_pioneer,small_world,0.4,,complex,mixture,0.7,0.05,hub_bridge,50,random,6,false,,,,,,1.0,,,,normal,,own,,false,,0.9036619999999967,0.903,0.9,0.91005,1.0,1.0,1.0,24.0,18.950000000000003,33.049999999999955,16.0,0.03500000000000003,0.403,1000,0.9961731014136095,1.0
expE_seed_x_pioneer,small_world,0.4,,complex,mixture,0.7,0.05,random,50,hub_bridge,6,false,,,,,,1.0,,,,normal,,own,,false,,0.8964729999999966,0.902,0.86095,0.909,0.92,0.999,0.92,35.0,25.0,52.09999999999991,26.0,0.026000000000000023,0.402,1000,0.9015331907113813,0.9352522144760509
expE_seed_x_pioneer,small_world,0.4,,complex,mixture,0.7,0.05,hub_bridge,50,hub_bridge,6,false,,,,,,1.0,,,,normal,,own,,false,,0.9043429999999952,0.904,0.9,0.912,1.0,1.0,1.0,20.0,16.0,26.0,15.0,0.03700000000000003,0.4035,1000,0.9961731014136095,1.0
