experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expC_culture_vs_misfits,small_world,0.2,,complex,mixture,0.7,0.03,random,30,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.5872840000000004,0.5834999999999999,0.41069999999999995,0.7730500000000002,0.044,0.772,0.032,69.0,46.0,97.0,59.0,0.015,0.08349999999999999,250,0.024743541619069078,0.07705852707258744
expC_culture_vs_misfits,small_world,0.2,,complex,mixture,0.7,0.05,random,50,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.6747600000000005,0.69,0.4748,0.836,0.176,0.928,0.172,57.0,38.0,91.0,47.0,0.017000000000000015,0.18900000000000006,250,0.13379907724930237,0.22800765576845358
expC_culture_vs_misfits,small_world,0.2,,complex,mixture,0.7,0.1,random,100,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.6082760000000001,0.6185,0.4616,0.738,0.3,0.908,0.124,55.0,33.0,93.0,46.0,0.01899999999999999,0.121,250,0.24657086403938408,0.3594826748604653
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.01,random,10,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.7655840000000003,0.808,0.4717,0.904,0.264,0.94,0.264,58.0,39.0,86.30000000000001,46.0,0.018000000000000016,0.30200000000000005,250,0.21322710068235817,0.3219160752194641
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.03,random,30,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.8567279999999997,0.9005000000000001,0.65515,0.907,0.636,0.996,0.636,45.0,30.0,72.6,35.0,0.02200000000000002,0.388,250,0.5747152623980124,0.6931683311500901
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.05,random,50,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.8883560000000017,0.901,0.80405,0.908,0.844,1.0,0.844,39.0,27.0,59.0,30.0,0.02400000000000002,0.398,250,0.7938530425287444,0.8837348705635146
expC_culture_vs_misfits,small_world,0.4,,complex,mixture,0.7,0.1,random,100,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.80524,0.8234999999999999,0.6706000000000001,0.901,0.94,1.0,0.88,31.0,22.9,47.55,24.0,0.02650000000000001,0.31749999999999995,50,0.8378265662912299,0.9793854036353695
expC_culture_vs_misfits,small_world,0.7,,complex,mixture,0.7,0.01,random,10,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.8769359999999999,0.9035,0.7063499999999999,0.912,0.708,0.996,0.708,49.0,35.0,75.6,38.0,0.025000000000000022,0.402,250,0.6488287723066753,0.7608755472374812
expC_culture_vs_misfits,small_world,0.7,,complex,mixture,0.7,0.03,random,30,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.8931919999999993,0.904,0.8197000000000001,0.915,0.868,1.0,0.868,40.0,27.0,68.55000000000001,30.0,0.02700000000000001,0.404,250,0.8204189328669529,0.9044425555573243
expC_culture_vs_misfits,small_world,0.7,,complex,mixture,0.7,0.05,random,50,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.9064399999999998,0.905,0.9,0.9155500000000001,1.0,1.0,1.0,30.0,24.45,49.64999999999999,23.0,0.03200000000000003,0.40900000000000003,50,0.9286499658256813,1.0
expC_culture_vs_misfits,small_world,0.7,,complex,mixture,0.7,0.1,random,100,random,10,true,,,,,,1.0,,,,normal,,own,,false,,0.8921800000000001,0.9,0.8546499999999999,0.905,1.0,1.0,1.0,26.0,18.450000000000003,35.0,19.0,0.032,0.3905,50,0.9286499658256813,1.0
