experiment,family,beta,m,rule,threshold_treatment,theta_mean,pi,pioneer_strategy,pioneer_count,seed_strategy,seed_count,vary_network,effort_metric,effort_budget,effort_label,robustness_axis,premium_ratio,digital_growth_sd,theta_sweep,seed_fraction_sweep,update_schedule,return_distribution,return_distribution_sweep,performance_benchmark,performance_benchmark_sweep,allow_abandonment,abandonment_sweep,final_adoption_mean,final_adoption_median,final_adoption_p05,final_adoption_p95,cascade_prob,cascade_threshold50_prob,cascade_dynamic70_prob,t50_median,t50_p05,t50_p95,transition_time_median,max_slope_median,excess_over_hazard_median,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
expA_nullmodels,small_world,1.0,,hazard,mixture,0.7,0.1,random,100,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.5019200000000001,0.505,0.46985,0.52475,0.0,0.58,0.0,93.0,85.4,99.6,83.0,0.015,0.0,50,0.0,0.07135003417431873
expA_nullmodels,small_world,1.0,,simple,mixture,0.7,0.1,random,100,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.012660000000000006,0.012,0.00945,0.017549999999999996,0.0,0.0,0.0,,,,,0.002999999999999999,-0.4865,50,0.0,0.07135003417431873
expA_nullmodels,small_world,1.0,,complex,mixture,0.7,0.1,random,100,random,10,false,,,,,,1.0,,,,normal,,own,,false,,0.887356999999996,0.901,0.81795,0.907,0.989,1.0,0.987,26.0,19.0,38.0,19.0,0.031000000000000028,0.3955,1000,0.9804104032716243,0.9938468899108859
