hazard_match_reps,theta_sweep,sigma,seed_fraction,k,setting_label,vary_network,m,v0,p_digital,total_adoptions,count_k,hazard_h,theta_high,pi,cascade_transition_window,theta_mean,abandonment_h,N,total_bankruptcies,pioneer_fraction,cascade_dynamic70,abandonment_sweep,network_seed,performance_benchmark,theta_low_mean,seed_count,min_better_total,digital_growth_sd,final_adoption,digital_growth_mean,degree_variance,clustering,max_slope,max_slope_period,return_distribution_sweep,cascade,giant_component_fraction,run_seed,cascade_slope_min,target_mean_degree,effort_metric,hazard_matched_final_adoption,t50,benchmark_percentile,network_generator,setting,robustness_axis,success_denominator,family,theta_low,powerlaw_alpha,effort_budget,variant_label,performance_benchmark_sweep,transition_time,pioneer_strategy,requested_reps,pioneer_threshold,cascade_threshold70,t10,stop_time,cascade_dynamic,min_successful_digital,cascade_final_cutoff,update_schedule,sigma_high,run_index,experiment,allow_abandonment,seed_fraction_sweep,excess_over_hazard,realised_edges,premium_ratio,realised_mean_degree,realised_N,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,threshold_treatment,seed_strategy,phase,beta,effort_label,rule,return_distribution,variant,traditional_growth_mean,replacement_digital_rule,theta_crit,t90,avg_path_length,pioneer_count
0,,,0.01,4,Exp A focal,false,,10.0,0.01,663,1,,,0.1,45,0.7,0.0,1000,174,0.1,false,,6301,own,,10,0,1.0,0.501,1.5,1.8458458458458458,0.003900606761051719,0.013000000000000005,4,,false,1.0,721875575,0.02,4,,0.501,97,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,87,random,250,0.05,false,10,100,false,0,0.5,,,11,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,23.55821244946909,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,679,1,,,0.1,45,0.7,0.0,1000,176,0.1,false,,6301,own,,10,0,1.0,0.514,1.5,1.8458458458458458,0.003900606761051719,0.015,6,,false,1.0,1673921155,0.02,4,,0.514,96,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,85,random,250,0.05,false,11,100,false,0,0.5,,,12,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,31.50305806980409,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,673,1,,,0.1,45,0.7,0.0,1000,180,0.1,false,,6301,own,,10,0,1.0,0.505,1.5,1.8458458458458458,0.003900606761051719,0.018000000000000002,3,,false,1.0,1048216233,0.02,4,,0.505,95,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,85,random,250,0.05,false,10,100,false,0,0.5,,,13,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,15.089921073172796,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,658,1,,,0.1,45,0.7,0.0,1000,188,0.1,false,,6301,own,,10,0,1.0,0.482,1.5,1.8458458458458458,0.003900606761051719,0.018,2,,false,1.0,1792991142,0.02,4,,0.482,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,9,100,false,0,0.5,,,14,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,17.47411203402358,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,692,1,,,0.1,45,0.7,0.0,1000,200,0.1,false,,6301,own,,10,0,1.0,0.504,1.5,1.8458458458458458,0.003900606761051719,0.016,1,,false,1.0,707399756,0.02,4,,0.504,98,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,90,random,250,0.05,false,8,100,false,0,0.5,,,15,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,22.708333282410948,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,677,1,,,0.1,45,0.7,0.0,1000,194,0.1,false,,6301,own,,10,0,1.0,0.497,1.5,1.8458458458458458,0.003900606761051719,0.018000000000000002,1,,false,1.0,1580481526,0.02,4,,0.497,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,10,100,false,0,0.5,,,16,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,31.5347527410588,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,678,1,,,0.1,45,0.7,0.0,1000,211,0.1,false,,6301,own,,10,0,1.0,0.479,1.5,1.8458458458458458,0.003900606761051719,0.017,8,,false,1.0,1570438833,0.02,4,,0.479,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,9,100,false,0,0.5,,,17,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,30.231712669707562,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,675,1,,,0.1,45,0.7,0.0,1000,190,0.1,false,,6301,own,,10,0,1.0,0.495,1.5,1.8458458458458458,0.003900606761051719,0.015,12,,false,1.0,843932060,0.02,4,,0.495,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,11,100,false,0,0.5,,,18,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,22.052222890205833,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,667,1,,,0.1,45,0.7,0.0,1000,192,0.1,false,,6301,own,,10,0,1.0,0.486,1.5,1.8458458458458458,0.003900606761051719,0.01200000000000001,27,,false,1.0,442920521,0.02,4,,0.486,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,12,100,false,0,0.5,,,19,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,28.14901428138244,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,678,1,,,0.1,45,0.7,0.0,1000,188,0.1,false,,6301,own,,10,0,1.0,0.501,1.5,1.8458458458458458,0.003900606761051719,0.013000000000000012,12,,false,1.0,244907137,0.02,4,,0.501,97,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,86,random,250,0.05,false,11,100,false,0,0.5,,,20,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,29.904209501582283,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,684,1,,,0.1,45,0.7,0.0,1000,193,0.1,false,,6301,own,,10,0,1.0,0.501,1.5,1.8458458458458458,0.003900606761051719,0.015000000000000013,33,,false,1.0,412412293,0.02,4,,0.501,100,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,90,random,250,0.05,false,10,100,false,0,0.5,,,21,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,31.1413823516332,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,660,1,,,0.1,45,0.7,0.0,1000,190,0.1,false,,6301,own,,10,0,1.0,0.482,1.5,1.8458458458458458,0.003900606761051719,0.013999999999999985,21,,false,1.0,721106218,0.02,4,,0.482,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,11,100,false,0,0.5,,,22,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,31.610857670524634,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
