section,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
calibration,20,0.7,homogeneous,homogeneous,0.8,0.006,homogeneous,1.0,0.965,0.9087500000000001,0.9910500000000001,9.5,7.0,12.350000000000005,19.0,15.95,23.450000000000006,21.5,18.950000000000003,26.450000000000006,9.0,8.0,11.100000000000001,0.16300000000000003,0.1539499999999999,0.17115000000000005,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.8,0.01,homogeneous,1.0,0.9795,0.9096,0.9951,7.0,5.949999999999999,9.05,15.5,13.0,19.1,18.0,15.95,22.1,9.0,7.0,10.05,0.16499999999999998,0.15674999999999992,0.17815000000000006,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.85,0.001,homogeneous,0.95,0.956,0.8645499999999999,0.9863500000000001,20.0,12.8,35.0,39.0,29.2,56.300000000000004,42.0,34.1,59.50000000000001,19.0,16.4,23.1,0.127,0.10734999999999999,0.13910000000000003,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,homogeneous,homogeneous,0.85,0.003,homogeneous,1.0,0.9395,0.90795,0.98015,13.0,9.0,25.05,28.5,21.95,47.3,32.0,25.0,51.3,15.5,12.0,22.300000000000004,0.126,0.11194999999999998,0.13340000000000002,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.85,0.006,homogeneous,1.0,0.9575,0.904,0.982,10.0,8.0,12.150000000000002,24.0,20.0,26.250000000000004,27.5,23.95,30.250000000000004,13.0,11.899999999999999,16.0,0.1265,0.11894999999999999,0.13705,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.85,0.01,homogeneous,1.0,0.9365,0.90285,0.98315,7.0,6.0,10.0,19.0,16.95,24.200000000000003,23.0,19.95,27.250000000000004,12.0,9.950000000000001,15.150000000000002,0.125,0.12045,0.13805,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.9,0.001,homogeneous,0.8,0.928,0.19569999999999999,0.9671,21.0,14.0,55.700000000000024,55.0,38.2,77.19999999999999,61.0,44.800000000000004,83.99999999999999,33.0,23.400000000000002,47.39999999999999,0.08250000000000002,0.007600000000000006,0.09499999999999997,20,0.5839782779742401,0.9193436467288
calibration,20,0.7,homogeneous,homogeneous,0.9,0.003,homogeneous,0.95,0.9325000000000001,0.90495,0.9588,13.5,10.0,19.05,37.0,30.900000000000002,56.55000000000001,45.0,37.800000000000004,61.750000000000014,23.0,19.95,42.25,0.08500000000000008,0.07319999999999996,0.09309999999999996,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,homogeneous,homogeneous,0.9,0.006,homogeneous,1.0,0.9404999999999999,0.9087500000000001,0.9621999999999999,10.5,8.95,14.100000000000001,30.0,24.950000000000003,53.050000000000004,36.5,30.95,61.050000000000004,20.0,15.95,38.05,0.08400000000000002,0.07689999999999995,0.09219999999999998,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,homogeneous,homogeneous,0.9,0.01,homogeneous,1.0,0.937,0.90575,0.96805,7.0,6.0,8.100000000000001,24.5,19.95,28.150000000000002,30.5,25.9,35.099999999999994,18.0,13.0,21.150000000000002,0.08499999999999996,0.07694999999999996,0.09610000000000009,20,0.8388698745050668,0.9999999999999999
