k,beta_star_ci_low,bootstrap_draws_with_crossing,beta_star,beta_star_ci_high
20,0.06486236236236237,1000,0.07222222222222223,0.07916666666666666
50,0.05,784,0.056818181818181816,0.06973086124401914
100,,0,,
